symbol,LFC,FDR,ID
Rpa1,0.018183698,1,ENSMUSG00000000751
Serpinf1,0.016876365,1,ENSMUSG00000000753
Tubgcp3,-0.004367232,1,ENSMUSG00000000759
Oprm1,-0.034046318,0.628140344,ENSMUSG00000000766
Polr3d,-0.009974927,1,ENSMUSG00000000776
Tcf7,-0.013990793,0.838432961,ENSMUSG00000000782
Ddx3x,-0.077972672,1,ENSMUSG00000000787
Il12rb1,0.01289171,0.918590755,ENSMUSG00000000791
Slc5a5,-0.014415205,1,ENSMUSG00000000792
Kcnn3,-0.020748404,0.902515497,ENSMUSG00000000794
Usp32,0.005514534,1,ENSMUSG00000000804
Car4,-0.003013133,0.009396469,ENSMUSG00000000805
Txnrd3,0.023753251,1,ENSMUSG00000000811
Fasl,0.006052133,1,ENSMUSG00000000817
Zfp512b,-0.034970657,1,ENSMUSG00000000823
Dnajc5,0.019671912,1,ENSMUSG00000000826
Tpd52l2,0.209322784,0.45212561,ENSMUSG00000000827
Fmr1,0.013974296,1,ENSMUSG00000000838
Bcl11a,-0.003384248,1,ENSMUSG00000000861
Il4,0.029707493,0.848137907,ENSMUSG00000000869
Pxmp4,-0.006489877,1,ENSMUSG00000000876
Dlg3,0.001771569,0.979350195,ENSMUSG00000000881
Gnb1l,0.001414431,1,ENSMUSG00000000884
Dbh,0.007011829,0.956028401,ENSMUSG00000000889
Mmp11,-0.04708705,0.93705272,ENSMUSG00000000901
Smarcb1,-0.008991846,1,ENSMUSG00000000902
Hip1r,-0.008412431,1,ENSMUSG00000000915
Nsun5,0.004491952,1,ENSMUSG00000000916
Top1mt,0.007417472,1,ENSMUSG00000000934
Hoxa10,-0.026928785,1,ENSMUSG00000000938
Hoxa4,-0.03471232,0.415270671,ENSMUSG00000000942
NA,-0.006404728,1,ENSMUSG00000000948
Mmp14,0.028136544,1,ENSMUSG00000000957
Slc7a7,0.025014919,1,ENSMUSG00000000958
Oxa1l,-0.025484181,1,ENSMUSG00000000959
Heatr6,-0.00581745,1,ENSMUSG00000000976
Ccl3,-0.008846465,1,ENSMUSG00000000982
Wfdc18,-0.009054158,0.403884454,ENSMUSG00000000983
Icam4,0.010772483,1,ENSMUSG00000001014
Ilf2,0.067693014,1,ENSMUSG00000001016
Chtop,-0.058034459,1,ENSMUSG00000001017
Snapin,0.040584883,1,ENSMUSG00000001018
S100a4,-0.127095555,0.074943708,ENSMUSG00000001020
S100a3,0.003032637,0.946615548,ENSMUSG00000001021
S100a5,-0.00796561,1,ENSMUSG00000001023
S100a6,-0.106901914,0.686158019,ENSMUSG00000001025
Scn4a,0.040198277,0.225785501,ENSMUSG00000001027
Icam2,-0.011615106,0.810585715,ENSMUSG00000001029
Mapk7,-0.005664871,1,ENSMUSG00000001034
Epn2,0.037665471,1,ENSMUSG00000001036
B9d1,-0.03792119,1,ENSMUSG00000001039
Sec24b,0.018430932,1,ENSMUSG00000001052
N4bp3,0.018582229,0.723767384,ENSMUSG00000001053
Rmnd5b,0.061927459,0.991530252,ENSMUSG00000001054
Nhp2,0.010109829,1,ENSMUSG00000001056
Vps9d1,0.01163632,1,ENSMUSG00000001062
Zfp276,0.008707832,1,ENSMUSG00000001065
C1ql4,-0.012614808,1,ENSMUSG00000001076
Mfsd10,-0.0253535,1,ENSMUSG00000001082
Luzp1,-0.02012749,1,ENSMUSG00000001089
Slc13a2,-0.008597664,1,ENSMUSG00000001095
Kctd10,0.046308636,1,ENSMUSG00000001098
Poldip2,-0.000627783,1,ENSMUSG00000001100
Sebox,-0.01494119,0.762147118,ENSMUSG00000001103
Ift20,0.005413138,1,ENSMUSG00000001105
Col6a1,0.032343891,0.057147053,ENSMUSG00000001119
Pcbp3,0.035604401,1,ENSMUSG00000001120
Lgals9,0.025945658,1,ENSMUSG00000001123
Araf,-0.069547235,0.870098211,ENSMUSG00000001127
Cfp,-0.026943201,1,ENSMUSG00000001128
Timp1,0.016715554,1,ENSMUSG00000001131
Uxt,0.012141095,1,ENSMUSG00000001134
Cnnm3,-0.007189607,1,ENSMUSG00000001138
Lman2l,0.02956385,1,ENSMUSG00000001143
Mcm3ap,0.005282141,1,ENSMUSG00000001150
Pcnt,-0.044278613,1,ENSMUSG00000001151
Ftcd,0.011796765,0.543844954,ENSMUSG00000001155
Mxd1,-0.045202288,0.443717566,ENSMUSG00000001156
Gmcl1,-0.025851702,1,ENSMUSG00000001157
Snrnp27,-0.040663665,0.982253215,ENSMUSG00000001158
Oas1c,0.035179769,1,ENSMUSG00000001166
Oas1h,0.016904253,0.206698251,ENSMUSG00000001168
Ocrl,0.018131185,1,ENSMUSG00000001173
Calm1,0.106984761,0.762147118,ENSMUSG00000001175
Agpat3,0.009364322,1,ENSMUSG00000001211
Slc26a3,-0.038257325,0.550249806,ENSMUSG00000001225
Sema6b,0.007293747,1,ENSMUSG00000001227
Uhrf1,-0.001122926,1,ENSMUSG00000001228
Dpp9,0.004910405,1,ENSMUSG00000001229
Ramp2,-0.000440245,1,ENSMUSG00000001240
Lsr,0.02457894,0.279414905,ENSMUSG00000001247
Gramd1a,0.024443381,1,ENSMUSG00000001248
Hpn,0.001949769,1,ENSMUSG00000001249
Gabrg1,0.016430703,0.712840125,ENSMUSG00000001260
Ckb,-0.081845601,0.831345135,ENSMUSG00000001270
Sp1,0.004228324,1,ENSMUSG00000001280
Itgb7,-0.021632126,0.664512312,ENSMUSG00000001281
Myg1,-0.02173755,1,ENSMUSG00000001285
Rarg,0.001218941,1,ENSMUSG00000001288
Pfdn5,-0.05796859,0.906661368,ENSMUSG00000001289
Efnb2,-0.013753875,1,ENSMUSG00000001300
Rrp15,0.004794479,1,ENSMUSG00000001305
Rnd2,0.004212361,1,ENSMUSG00000001313
Srr,0.006245285,1,ENSMUSG00000001323
Sync,0.018862586,1,ENSMUSG00000001333
Fndc5,-0.055461544,0.605865935,ENSMUSG00000001334
Acp5,0.00012057,1,ENSMUSG00000001348
Cnn1,0.011403556,0.943240387,ENSMUSG00000001349
Fbxo9,0.007832578,1,ENSMUSG00000001366
Vps50,-0.019097439,1,ENSMUSG00000001376
Hars,0.022898855,0.975188735,ENSMUSG00000001380
Zmat2,-0.01903676,1,ENSMUSG00000001383
Ube2c,-0.006175563,0.895200502,ENSMUSG00000001403
Smg5,0.005366068,1,ENSMUSG00000001415
Cct3,-0.00581599,1,ENSMUSG00000001416
Glmp,0.135507458,0.567080837,ENSMUSG00000001418
