symbol,LFC,FDR,ID
Cryba1,-0.515706459,0.624260205,ENSMUSG00000000724
Dnmt3l,0.761208916,0.621523284,ENSMUSG00000000730
Aire,-0.033965263,1,ENSMUSG00000000731
Icosl,3.759234101,0.000360862,ENSMUSG00000000732
Spg7,1.07112264,0.126228322,ENSMUSG00000000738
Sult5a1,1.543562136,0.08424429,ENSMUSG00000000739
Rpl13,0.311346211,0.244942757,ENSMUSG00000000740
Chmp1a,-0.434170627,0.402215252,ENSMUSG00000000743
Rpa1,-0.347466053,0.714392684,ENSMUSG00000000751
Serpinf1,0.304867882,0.603598314,ENSMUSG00000000753
Tubgcp3,3.163272297,1.22E-08,ENSMUSG00000000759
Oprm1,4.320118958,1.27E-06,ENSMUSG00000000766
Polr3d,0.387342327,0.601262379,ENSMUSG00000000776
Tcf7,0.590203652,0.659107306,ENSMUSG00000000782
Ddx3x,-0.232142461,0.619701702,ENSMUSG00000000787
Il12rb1,-0.46437563,0.792188676,ENSMUSG00000000791
Slc5a5,-0.211235612,0.827895854,ENSMUSG00000000792
Kcnn3,-1.427439622,0.076635576,ENSMUSG00000000794
Usp32,1.792231784,0.000531228,ENSMUSG00000000804
Car4,0.049735219,0.63779598,ENSMUSG00000000805
Txnrd3,0.490605693,0.535937571,ENSMUSG00000000811
Fasl,0.102966963,1,ENSMUSG00000000817
Zfp512b,-0.22921683,0.65386834,ENSMUSG00000000823
Dnajc5,-0.088890964,0.925684337,ENSMUSG00000000826
Tpd52l2,0.69859754,0.237979429,ENSMUSG00000000827
Fmr1,0.060513392,0.979651325,ENSMUSG00000000838
Bcl11a,0.159953747,0.889802859,ENSMUSG00000000861
Il4,1.204923851,0.045638661,ENSMUSG00000000869
Pxmp4,-0.152889058,0.839305693,ENSMUSG00000000876
Dlg3,-0.304463962,0.716804698,ENSMUSG00000000881
Gnb1l,-0.090328003,0.947694659,ENSMUSG00000000884
Dbh,0.514470815,0.336036789,ENSMUSG00000000889
Mmp11,1.086156299,0.093990055,ENSMUSG00000000901
Smarcb1,0.046870002,1,ENSMUSG00000000902
Hip1r,-0.904342278,0.14903503,ENSMUSG00000000915
Nsun5,-0.088332441,0.95812567,ENSMUSG00000000916
Top1mt,1.895677832,0.005974179,ENSMUSG00000000934
Hoxa10,0.016765192,1,ENSMUSG00000000938
Hoxa4,4.285359125,1.82E-05,ENSMUSG00000000942
NA,-0.809596243,0.228280548,ENSMUSG00000000948
Mmp14,-0.278080097,0.80801511,ENSMUSG00000000957
Slc7a7,0.124888313,0.926595578,ENSMUSG00000000958
Oxa1l,-0.156670971,0.757644671,ENSMUSG00000000959
Heatr6,0.320349014,0.551526076,ENSMUSG00000000976
Ccl3,-0.042101637,0.967177875,ENSMUSG00000000982
Wfdc18,-0.167350007,0.94253835,ENSMUSG00000000983
Icam4,-0.140228809,1,ENSMUSG00000001014
Ilf2,0.388886239,0.300455785,ENSMUSG00000001016
Chtop,0.147567219,1,ENSMUSG00000001017
Snapin,-0.275376409,0.20075566,ENSMUSG00000001018
S100a4,0.240501076,0.778037462,ENSMUSG00000001020
S100a3,-4.626020639,2.49E-05,ENSMUSG00000001021
S100a5,0.092863592,1,ENSMUSG00000001023
S100a6,-0.005775411,1,ENSMUSG00000001025
Scn4a,-0.390769457,0.779272116,ENSMUSG00000001027
Icam2,-0.502505336,0.493687249,ENSMUSG00000001029
Mapk7,-1.398731366,0.039136053,ENSMUSG00000001034
Epn2,0.351080685,0.634069275,ENSMUSG00000001036
B9d1,-0.247870992,0.776924074,ENSMUSG00000001039
Sec24b,-0.863806653,0.164350394,ENSMUSG00000001052
N4bp3,-0.476497413,0.5687645,ENSMUSG00000001053
Rmnd5b,-0.157460386,0.880075152,ENSMUSG00000001054
Nhp2,0.489003832,0.106722816,ENSMUSG00000001056
Vps9d1,0.069337143,0.971067982,ENSMUSG00000001062
Zfp276,-0.237370637,0.84049671,ENSMUSG00000001065
C1ql4,-0.260196918,0.882241875,ENSMUSG00000001076
Mfsd10,0.481522919,0.535470973,ENSMUSG00000001082
Luzp1,-0.348986407,0.61873777,ENSMUSG00000001089
Slc13a2,-0.568175363,1,ENSMUSG00000001095
Kctd10,-0.319540967,0.668280655,ENSMUSG00000001098
Poldip2,-0.298001813,0.615355189,ENSMUSG00000001100
Sebox,-0.601869157,0.574087118,ENSMUSG00000001103
Ift20,-0.2659915,0.600663608,ENSMUSG00000001105
Col6a1,-0.133601674,0.814591911,ENSMUSG00000001119
