symbol,LFC,FDR,ID
Aire,-0.102216647,1,ENSMUSG00000000731
Icosl,-0.317355687,0.788328087,ENSMUSG00000000732
Spg7,-1.155769541,0.032350945,ENSMUSG00000000738
Sult5a1,-0.275291508,0.822169454,ENSMUSG00000000739
Rpl13,0.044626934,0.887154736,ENSMUSG00000000740
Chmp1a,-0.147882924,0.826672668,ENSMUSG00000000743
Rpa1,-0.018044493,0.890773013,ENSMUSG00000000751
Serpinf1,-0.063188867,0.961996001,ENSMUSG00000000753
Tubgcp3,-0.917347715,0.119096235,ENSMUSG00000000759
Oprm1,0.14449943,1,ENSMUSG00000000766
Polr3d,-1.001346716,0.090002557,ENSMUSG00000000776
Tcf7,-0.357023108,1,ENSMUSG00000000782
Ddx3x,0.127228892,0.637118427,ENSMUSG00000000787
Il12rb1,-0.206192865,1,ENSMUSG00000000791
Slc5a5,-0.037268622,1,ENSMUSG00000000792
Kcnn3,-0.20067847,0.943909773,ENSMUSG00000000794
Usp32,0.263185583,0.69964453,ENSMUSG00000000804
Car4,-0.038921687,1,ENSMUSG00000000805
Txnrd3,-0.319356466,0.741709518,ENSMUSG00000000811
Fasl,-0.049432127,1,ENSMUSG00000000817
Zfp512b,0.614520876,0.174761468,ENSMUSG00000000823
Dnajc5,-0.093733976,0.815804992,ENSMUSG00000000826
Tpd52l2,-0.032333118,1,ENSMUSG00000000827
Fmr1,0.37962117,0.70296299,ENSMUSG00000000838
Bcl11a,5.60515767,1.05E-05,ENSMUSG00000000861
Il4,-1.037429798,0.11125625,ENSMUSG00000000869
Pxmp4,-1.032780732,0.00664232,ENSMUSG00000000876
Dlg3,-0.290564496,0.843825736,ENSMUSG00000000881
Gnb1l,0.344142307,0.729236382,ENSMUSG00000000884
Dbh,0.340872933,0.316557926,ENSMUSG00000000889
Mmp11,-0.885110696,0.1214026,ENSMUSG00000000901
Smarcb1,-0.108131383,0.655844776,ENSMUSG00000000902
Hip1r,-0.9083597,0.133194733,ENSMUSG00000000915
Nsun5,-0.657117998,0.199767687,ENSMUSG00000000916
Top1mt,3.354534444,4.15E-06,ENSMUSG00000000934
Hoxa10,-0.714280845,0.122690281,ENSMUSG00000000938
Hoxa4,-0.315570865,0.859804176,ENSMUSG00000000942
NA,2.910925651,4.10E-05,ENSMUSG00000000948
Mmp14,-0.2259392,0.813643036,ENSMUSG00000000957
Slc7a7,2.11578321,0.000972701,ENSMUSG00000000958
Oxa1l,-1.00532176,0.022384741,ENSMUSG00000000959
Heatr6,0.881812038,0.123272453,ENSMUSG00000000976
Ccl3,0.232177151,0.62586421,ENSMUSG00000000982
