symbol,LFC,FDR,ID
Polr3d,-0.000222227,1,ENSMUSG00000000776
Tcf7,-0.001145552,1,ENSMUSG00000000782
Ddx3x,0.058282561,1,ENSMUSG00000000787
Il12rb1,-0.006424899,1,ENSMUSG00000000791
Slc5a5,-0.009676681,1,ENSMUSG00000000792
Kcnn3,0.006704931,1,ENSMUSG00000000794
Usp32,0.000648239,1,ENSMUSG00000000804
Car4,-0.000595335,0.008080602,ENSMUSG00000000805
Txnrd3,0.005425026,1,ENSMUSG00000000811
Fasl,-0.001558739,1,ENSMUSG00000000817
Zfp512b,0.002477403,1,ENSMUSG00000000823
Dnajc5,0.024827704,1,ENSMUSG00000000826
Tpd52l2,0.017352954,1,ENSMUSG00000000827
Fmr1,-0.00073809,1,ENSMUSG00000000838
Bcl11a,0.007776681,0.82085893,ENSMUSG00000000861
Il4,-0.003411079,1,ENSMUSG00000000869
Pxmp4,-0.006562679,1,ENSMUSG00000000876
Dlg3,0.008227828,0.744547528,ENSMUSG00000000881
Gnb1l,-0.005455707,1,ENSMUSG00000000884
Dbh,0.006687225,0.445376043,ENSMUSG00000000889
Mmp11,-0.009973919,1,ENSMUSG00000000901
Smarcb1,0.009661713,1,ENSMUSG00000000902
Hip1r,0.002581441,1,ENSMUSG00000000915
Nsun5,-0.004404449,1,ENSMUSG00000000916
Top1mt,0.014999756,1,ENSMUSG00000000934
Hoxa10,-0.015269935,1,ENSMUSG00000000938
Hoxa4,0.00265599,1,ENSMUSG00000000942
NA,-0.01155753,1,ENSMUSG00000000948
Mmp14,-0.000937439,1,ENSMUSG00000000957
Slc7a7,-0.009627958,1,ENSMUSG00000000958
Oxa1l,-0.00935358,1,ENSMUSG00000000959
Heatr6,-0.004686798,1,ENSMUSG00000000976
Ccl3,0.001640287,1,ENSMUSG00000000982
Wfdc18,-0.001843917,1,ENSMUSG00000000983
Icam4,-0.000131266,1,ENSMUSG00000001014
Ilf2,-0.003674776,1,ENSMUSG00000001016
Chtop,-0.00809276,1,ENSMUSG00000001017
Snapin,-0.249300013,0.250572034,ENSMUSG00000001018
S100a4,-0.001385345,1,ENSMUSG00000001020
S100a3,0.003652238,1,ENSMUSG00000001021
S100a5,-0.000904972,1,ENSMUSG00000001023
S100a6,-0.008966352,1,ENSMUSG00000001025
Scn4a,-0.004397194,1,ENSMUSG00000001027
Icam2,-0.002343272,1,ENSMUSG00000001029
Mapk7,0.002119562,1,ENSMUSG00000001034
Epn2,0.004271709,1,ENSMUSG00000001036
B9d1,-0.000314956,1,ENSMUSG00000001039
Sec24b,0.008953155,1,ENSMUSG00000001052
N4bp3,-0.004310604,1,ENSMUSG00000001053
Rmnd5b,0.008677604,1,ENSMUSG00000001054
Nhp2,0.057700235,0.688108862,ENSMUSG00000001056
Vps9d1,-0.002829906,1,ENSMUSG00000001062
Zfp276,0.001804055,1,ENSMUSG00000001065
C1ql4,-0.019630857,0.215100326,ENSMUSG00000001076
Mfsd10,-0.006516469,1,ENSMUSG00000001082
Luzp1,0.01962279,1,ENSMUSG00000001089
Slc13a2,-0.010059471,1,ENSMUSG00000001095
Kctd10,0.009173459,1,ENSMUSG00000001098
Poldip2,-0.007294974,1,ENSMUSG00000001100
Sebox,-0.003635493,1,ENSMUSG00000001103
Ift20,-0.026499889,1,ENSMUSG00000001105
Col6a1,-0.003279129,1,ENSMUSG00000001119
Pcbp3,-0.013635873,1,ENSMUSG00000001120
Lgals9,-0.016900095,1,ENSMUSG00000001123
Araf,-0.041140066,1,ENSMUSG00000001127
Cfp,-0.002867374,1,ENSMUSG00000001128
Timp1,0.011162042,0.235523556,ENSMUSG00000001131
Uxt,0.004959735,1,ENSMUSG00000001134
Cnnm3,-0.002433436,1,ENSMUSG00000001138
Lman2l,-0.005592114,1,ENSMUSG00000001143
Mcm3ap,0.000679821,1,ENSMUSG00000001150
Pcnt,0.000768699,1,ENSMUSG00000001151
Ftcd,0.00050925,1,ENSMUSG00000001155
Mxd1,-0.001977498,1,ENSMUSG00000001156
Gmcl1,-0.008757458,1,ENSMUSG00000001157
Snrnp27,-0.015073662,1,ENSMUSG00000001158
Oas1c,-0.002373663,1,ENSMUSG00000001166
Oas1h,0.002234036,1,ENSMUSG00000001168
Ocrl,-0.006525339,1,ENSMUSG00000001173
Calm1,-0.034488111,1,ENSMUSG00000001175
Agpat3,0.018661636,1,ENSMUSG00000001211
Slc26a3,0.022502001,0.753733392,ENSMUSG00000001225
Sema6b,0.001082974,1,ENSMUSG00000001227
Uhrf1,-0.017236467,0.740991277,ENSMUSG00000001228
Dpp9,0.006715319,1,ENSMUSG00000001229
Ramp2,0.011241425,1,ENSMUSG00000001240
Lsr,0.001971092,1,ENSMUSG00000001247
Gramd1a,0.019013408,1,ENSMUSG00000001248
Hpn,0.006400188,1,ENSMUSG00000001249
Gabrg1,0.004234758,0.576059302,ENSMUSG00000001260
Ckb,0.058274215,0.824359382,ENSMUSG00000001270
Sp1,0.003925393,1,ENSMUSG00000001280
Itgb7,0.003400331,1,ENSMUSG00000001281
Myg1,-0.005983364,1,ENSMUSG00000001285
Rarg,-0.008746646,1,ENSMUSG00000001288
Pfdn5,-0.005914458,1,ENSMUSG00000001289
Efnb2,0.013299831,0.729299786,ENSMUSG00000001300
Rrp15,-0.002708958,1,ENSMUSG00000001305
Rnd2,0.006284974,1,ENSMUSG00000001313
Srr,0.003785437,1,ENSMUSG00000001323
Sync,0.001745083,1,ENSMUSG00000001333
Fndc5,-0.018106152,1,ENSMUSG00000001334
Acp5,0.00316098,1,ENSMUSG00000001348
Cnn1,-0.001120831,1,ENSMUSG00000001349
Fbxo9,-0.014212222,1,ENSMUSG00000001366
Vps50,-0.003941465,1,ENSMUSG00000001376
Hars,0.002482134,1,ENSMUSG00000001380
Zmat2,-0.006790029,1,ENSMUSG00000001383
Ube2c,0.006155299,1,ENSMUSG00000001403
