symbol,LCF,FDR,ID
Rpa1,-0.125605085,1,ENSMUSG00000000751
Serpinf1,0.139953113,1,ENSMUSG00000000753
Tubgcp3,-0.088663512,1,ENSMUSG00000000759
Oprm1,0.099035811,0.77130247,ENSMUSG00000000766
Polr3d,0.128000851,1,ENSMUSG00000000776
Tcf7,0.116909833,0.462523884,ENSMUSG00000000782
Ddx3x,0.046244945,1,ENSMUSG00000000787
Il12rb1,-0.100351612,0.519637745,ENSMUSG00000000791
Slc5a5,-0.053485136,1,ENSMUSG00000000792
Kcnn3,0.030862181,0.951045188,ENSMUSG00000000794
Usp32,-0.02335534,1,ENSMUSG00000000804
Car4,0.041265815,0.315514255,ENSMUSG00000000805
Txnrd3,0.020921277,1,ENSMUSG00000000811
Fasl,-0.008919365,1,ENSMUSG00000000817
Zfp512b,0.18119544,1,ENSMUSG00000000823
Dnajc5,0.10444724,1,ENSMUSG00000000826
Tpd52l2,0.023746618,1,ENSMUSG00000000827
Fmr1,0.134404881,1,ENSMUSG00000000838
Bcl11a,-0.020959062,1,ENSMUSG00000000861
Il4,-0.111096483,0.759922443,ENSMUSG00000000869
Pxmp4,-0.093024684,1,ENSMUSG00000000876
Dlg3,-0.103429701,0.098628847,ENSMUSG00000000881
Gnb1l,-0.036164508,1,ENSMUSG00000000884
Dbh,0.002932255,0.886578994,ENSMUSG00000000889
Mmp11,0.011133929,1,ENSMUSG00000000901
Smarcb1,0.025432719,1,ENSMUSG00000000902
Hip1r,-0.034247182,1,ENSMUSG00000000915
Nsun5,-0.120007872,1,ENSMUSG00000000916
Top1mt,-0.129509183,1,ENSMUSG00000000934
Hoxa10,-0.328708424,0.807720659,ENSMUSG00000000938
Hoxa4,-5.575094357,0.000464953,ENSMUSG00000000942
NA,-0.071432865,0.909421945,ENSMUSG00000000948
Mmp14,-0.029299892,1,ENSMUSG00000000957
Slc7a7,0.097334758,1,ENSMUSG00000000958
Oxa1l,0.156534109,1,ENSMUSG00000000959
Heatr6,-0.14210738,1,ENSMUSG00000000976
Ccl3,0.015874038,1,ENSMUSG00000000982
Wfdc18,0.020727327,0.782405568,ENSMUSG00000000983
Icam4,0.005140087,1,ENSMUSG00000001014
Ilf2,-0.136930761,1,ENSMUSG00000001016
Chtop,-0.059376794,1,ENSMUSG00000001017
Snapin,-0.016550618,1,ENSMUSG00000001018
S100a4,-0.254805139,0.470191623,ENSMUSG00000001020
S100a3,0.017103972,1,ENSMUSG00000001021
S100a5,-0.08809869,0.364809766,ENSMUSG00000001023
S100a6,-0.007923299,1,ENSMUSG00000001025
Scn4a,-0.156498123,0.150690749,ENSMUSG00000001027
Icam2,0.087814442,0.36492443,ENSMUSG00000001029
Mapk7,0.1530409,0.849803796,ENSMUSG00000001034
Epn2,0.023326403,1,ENSMUSG00000001036
B9d1,-0.13175906,1,ENSMUSG00000001039
Sec24b,0.084237995,1,ENSMUSG00000001052
N4bp3,-0.01008635,1,ENSMUSG00000001053
Rmnd5b,-0.024746738,1,ENSMUSG00000001054
Nhp2,0.177065774,1,ENSMUSG00000001056
Vps9d1,0.068858199,1,ENSMUSG00000001062
Zfp276,0.045386911,0.862716488,ENSMUSG00000001065
C1ql4,-0.081664863,1,ENSMUSG00000001076
Mfsd10,-0.171097094,0.766058674,ENSMUSG00000001082
Luzp1,-0.075647476,1,ENSMUSG00000001089
Slc13a2,-0.06627274,1,ENSMUSG00000001095
Kctd10,-0.020784455,1,ENSMUSG00000001098
Poldip2,-0.019961137,1,ENSMUSG00000001100
